D_eff,delta_psi,recent_hits,S_final,fertile,intelligence_score,compression_ratio,fidelity_proxy
10,0.9,0,0.33816820611807963,True,0.5695452925461358,40.0,0.9139090585092272
10,0.9,1,0.3380147904235991,True,0.5705680638426727,40.0,0.9141136127685345
10,0.9,2,0.33786152366004824,True,0.5715898422663451,40.0,0.9143179684532691
10,0.9,3,0.3377084056797209,True,0.5726106288018609,40.0,0.9145221257603722
10,1.0,0,0.3973868738852976,False,0.0,40.0,0.0
10,1.0,1,0.3971772647965419,False,0.0,40.0,0.0
10,1.0,2,0.39696785918942185,False,0.0,40.0,0.0
10,1.0,3,0.39675865686212924,False,0.0,40.0,0.0
10,1.1,0,0.44279079257402726,False,0.0,40.0,0.0
10,1.1,1,0.44253809909312436,False,0.0,40.0,0.0
10,1.1,2,0.4422856509187734,False,0.0,40.0,0.0
10,1.1,3,0.44203344780768533,False,0.0,40.0,0.0
10,1.2,0,0.4634527820566671,False,0.0,40.0,0.0
10,1.2,1,0.4631804821346657,False,0.0,40.0,0.0
10,1.2,2,0.462908446552507,False,0.0,40.0,0.0
10,1.2,3,0.4626366750480249,False,0.0,40.0,0.0
11,0.2,0,0.14880917180291536,False,0.0,44.0,0.0
11,0.2,1,0.14883544145557345,False,0.0,44.0,0.0
11,0.2,2,0.14886168560651347,False,0.0,44.0,0.0
11,0.2,3,0.1488879042810274,False,0.0,44.0,0.0
11,0.3,0,0.13127363463344074,False,0.0,44.0,0.0
11,0.3,1,0.13131654399433856,False,0.0,44.0,0.0
11,0.3,2,0.13135941170023474,False,0.0,44.0,0.0
11,0.3,3,0.13140223779244167,False,0.0,44.0,0.0
11,0.4,0,0.12792964452797193,False,0.0,44.0,0.0
11,0.4,1,0.12797572704627996,False,0.0,44.0,0.0
11,0.4,2,0.1280217648291891,False,0.0,44.0,0.0
11,0.4,3,0.1280677579210668,False,0.0,44.0,0.0
11,0.5,0,0.14112629725397197,False,0.0,44.0,0.0
11,0.5,1,0.14115985729013533,False,0.0,44.0,0.0
11,0.5,2,0.14119338474731521,False,0.0,44.0,0.0
11,0.5,3,0.1412268796578226,False,0.0,44.0,0.0
11,0.6,0,0.1714316260320308,False,0.0,44.0,0.0
11,0.6,1,0.17143642893209382,False,0.0,44.0,0.0
11,0.6,2,0.17144122716965884,False,0.0,44.0,0.0
11,0.6,3,0.17144602074934998,False,0.0,44.0,0.0
11,0.7,0,0.21722617230141672,True,0.6241744820094447,44.0,0.924834896401889
11,0.7,1,0.21718752013754136,True,0.6239168009169423,44.0,0.9247833601833886
11,0.7,2,0.21714890549592034,True,0.6236593699728021,44.0,0.9247318739945605
11,0.7,3,0.2171103283393399,True,0.6234021889289326,44.0,0.9246804377857866
11,0.8,0,0.27447444315489755,True,0.9941703789673497,44.0,0.9988340757934699
11,0.8,1,0.27438146733301144,True,0.9947902177799238,44.0,0.9989580435559848
11,0.8,2,0.2742885817690069,True,0.9954094548732875,44.0,0.9990818909746575
11,0.8,3,0.27419578637336833,True,0.9960280908442112,44.0,0.9992056181688422
11,0.9,0,0.3367312902967158,True,0.5791247313552281,44.0,0.9158249462710457
11,0.9,1,0.3365792381110802,True,0.5801384125927986,44.0,0.9160276825185598
11,0.9,2,0.33642733353272464,True,0.5811511097818358,44.0,0.9162302219563672
11,0.9,3,0.33627557641525563,True,0.5821628238982959,44.0,0.9164325647796592
11,1.0,0,0.39542364178603556,False,0.0,44.0,0.0
11,1.0,1,0.39521589563475495,False,0.0,44.0,0.0
11,1.0,2,0.3950083511566313,False,0.0,44.0,0.0
11,1.0,3,0.3948010081516501,False,0.0,44.0,0.0
11,1.1,0,0.44042402519801466,False,0.0,44.0,0.0
11,1.1,1,0.44017357757466535,False,0.0,44.0,0.0
11,1.1,2,0.4399233730776631,False,0.0,44.0,0.0
11,1.1,3,0.43967341146588096,False,0.0,44.0,0.0
11,1.2,0,0.46090237763158715,False,0.0,44.0,0.0
11,1.2,1,0.46063249782281734,False,0.0,44.0,0.0
11,1.2,2,0.4603628800045235,False,0.0,44.0,0.0
11,1.2,3,0.46009352391686975,False,0.0,44.0,0.0
12,0.2,0,0.14906855832442442,False,0.0,48.0,0.0
12,0.2,1,0.14909458184170626,False,0.0,48.0,0.0
12,0.2,2,0.14912058009621015,False,0.0,48.0,0.0
12,0.2,3,0.14914655311299116,False,0.0,48.0,0.0
12,0.3,0,0.13169732161584283,False,0.0,48.0,0.0
12,0.3,1,0.13173982893443625,False,0.0,48.0,0.0
12,0.3,2,0.13178229498831753,False,0.0,48.0,0.0
12,0.3,3,0.131824719818412,False,0.0,48.0,0.0
12,0.4,0,0.1283846632631592,False,0.0,48.0,0.0
12,0.4,1,0.12843031400803914,False,0.0,48.0,0.0
12,0.4,2,0.1284759204366717,False,0.0,48.0,0.0
12,0.4,3,0.1285214825930086,False,0.0,48.0,0.0
12,0.5,0,0.14145766901420934,False,0.0,48.0,0.0
12,0.5,1,0.14149091460723048,False,0.0,48.0,0.0
